x	y
1	-89.6703175
2	-89.6713268
3	-89.6857500
4	-89.7056680
5	-89.7390476
6	-89.7383333
7	-89.7233333
8	-89.6959259
9	-89.7009353
10	-89.7133333
11	-89.7100039
12	-89.6981944
13	-89.6993981
14	-89.7001111
15	-89.7013704
16	-89.7024836
17	-89.7038889
18	-89.6986232
19	-89.6975397
20	-89.6998889
21	-89.6978671
22	-89.6975000
23	-89.6898990
24	-89.6813737
25	-89.6808333
26	-89.6707143
27	-89.6548182
28	-89.6612674
29	-89.6564310
30	-89.6250000
31	-89.6114815
32	-89.6250000
33	-89.6117616
34	-89.5910714
35	-89.5687500
36	-89.6352778
37	-89.6475000
38	-89.7039072
39	-89.7650000
40	-89.7956667
41	-89.8170370
42	-89.8619644
43	-89.9242394
44	-89.9400000
45	-89.9459259
46	-89.9307955
47	-89.9837500
48	-89.9415833
49	-89.9287627
50	-89.9400000
51	-89.9418182
52	-89.9300000
53	-89.9364663
54	-89.9435715
55	-89.9684848
56	-89.9650000
57	-89.9646296
58	-89.9642593
59	-89.9542857
60	-89.9678477
61	-89.9536842
62	-89.9536250
63	-89.9451797
64	-89.9440476
65	-89.9452751
66	-89.9371429
67	-89.9399206
68	-89.9537935
69	-89.9484603
70	-89.9554127
71	-89.9545391
72	-89.9556667
73	-89.9615741
74	-89.9738580
75	-89.9773380
76	-89.9725556
77	-89.9775000
78	-89.9796296
79	-89.9673148
80	-89.9644768
81	-89.9630581
82	-89.9654545
83	-89.9806145
84	-89.9885714
85	-89.9975890
86	-90.0087500
87	-90.0091865
88	-90.0286634
89	-90.0256481
90	-90.0010185
91	-90.0033017
92	-90.0365635
93	-90.0723069
94	-90.0690000
95	-90.0822593
96	-90.1000000
97	-90.0653333
98	-90.0425000
99	-90.0430556
100	-89.9825000
101	-89.9199074
102	-89.8707407
103	-89.8566667
104	-89.8408611
105	-89.7952500
106	-89.7985185
107	-89.7400000
108	-89.7169167
109	-89.7300000
110	-89.7150000
111	-89.6938889
112	-89.7393333
113	-89.7380000
114	-89.7616667
115	-89.7657912
116	-89.7562500
117	-89.7608333
118	-89.7766737
119	-89.7917985
120	-89.7806389
121	-89.7725000
122	-89.7773810
123	-89.7665972
124	-89.7520370
125	-89.7594278
126	-89.7633333
127	-89.7656944
128	-89.7650000
129	-89.7620000
130	-89.7614286
131	-89.7345714
132	-89.7337500
133	-89.7275000
134	-89.7355556
135	-89.7355556
136	-89.7385185
137	-89.7561111
138	-89.7668750
139	-89.7629398
140	-89.7515046
141	-89.7490834
142	-89.7500648
143	-89.7474604
144	-89.7247955
145	-89.7194444
146	-89.7301852
147	-89.7427778
148	-89.7398833
149	-89.7350000
150	-89.7215983
151	-89.6985419
152	-89.6929167
153	-89.6935518
154	-89.6941944
155	-89.6970779
156	-89.6985607
157	-89.6987500
