x	y
1	3.5325699
2	3.5325699
3	3.5325618
4	3.5325634
5	3.5325735
6	3.5325736
7	3.5325732
8	3.5325490
9	3.5325417
10	3.5325470
11	3.5325476
12	3.5325503
13	3.5325490
14	3.5325438
15	3.5325167
16	3.5325612
17	3.5325525
18	3.5325666
19	3.5325340
20	3.5325380
21	3.5325438
22	3.5325438
23	3.5325470
24	3.5325490
25	3.5325148
26	3.5325097
27	3.5325047
28	3.5325046
29	3.5325033
30	3.5325053
31	3.5324721
32	3.5324729
33	3.5324197
34	3.5324206
35	3.5324714
36	3.5324654
37	3.5324393
38	3.5324393
39	3.5324393
40	3.5324132
41	3.5324044
42	3.5323965
43	3.5323870
44	3.5324132
45	3.5324083
46	3.5324262
47	3.5324439
48	3.5323870
49	3.5324013
50	3.5323957
51	3.5323949
52	3.5324311
53	3.5324164
54	3.5324691
55	3.5324806
56	3.5324306
57	3.5324364
58	3.5324556
59	3.5323998
60	3.5323835
61	3.5323673
62	3.5323534
63	3.5323439
64	3.5323544
65	3.5323576
66	3.5323736
67	3.5323638
68	3.5323504
69	3.5323609
70	3.5324619
71	3.5324741
72	3.5324027
73	3.5323713
74	3.5323478
75	3.5323086
76	3.5323139
77	3.5323549
78	3.5323897
79	3.5323086
80	3.5323069
81	3.5323310
82	3.5323374
83	3.5323282
84	3.5323045
85	3.5323021
86	3.5323191
87	3.5323534
88	3.5323874
89	3.5323986
90	3.5323917
91	3.5324002
92	3.5323609
93	3.5323609
94	3.5323348
95	3.5323374
96	3.5323713
97	3.5323348
98	3.5323278
99	3.5323208
100	3.5323180
101	3.5323176
102	3.5323171
103	3.5323057
104	3.5323000
105	3.5323261
106	3.5323737
107	3.5323671
108	3.5323728
109	3.5324273
110	3.5324317
111	3.5324161
112	3.5324132
113	3.5323740
114	3.5323740
115	3.5324596
116	3.5324981
117	3.5325102
118	3.5324981
119	3.5324981
120	3.5324828
121	3.5324868
122	3.5325046
123	3.5325043
124	3.5325111
125	3.5325561
126	3.5325490
127	3.5325072
128	3.5324915
129	3.5325289
130	3.5325349
131	3.5325410
132	3.5325438
133	3.5325960
134	3.5326448
135	3.5326483
136	3.5326483
137	3.5326924
138	3.5327332
139	3.5327196
140	3.5327223
141	3.5327371
142	3.5327528
143	3.5327458
144	3.5327476
145	3.5327328
146	3.5327169
147	3.5327760
148	3.5328612
149	3.5328802
150	3.5328765
151	3.5328729
152	3.5328730
153	3.5330141
154	3.5331410
155	3.5331434
156	3.5331459
157	3.5334722
158	3.5335627
159	3.5340199
160	3.5342681
161	3.5350732
162	3.5358783
163	3.5366195
164	3.5378997
165	3.5394785
166	3.5411688
167	3.5429421
168	3.5456853
169	3.5484286
170	3.5520340
171	3.5556395
172	3.5603422
173	3.5658288
174	3.5714198
175	3.5774811
176	3.5845875
177	3.5928434
178	3.6005768
179	3.6084670
180	3.6176112
181	3.6282707
182	3.6380420
183	3.6495898
184	3.6608764
185	3.6739918
186	3.6862712
187	3.6978713
188	3.7111958
189	3.7249905
190	3.7382627
191	3.7526844
192	3.7659566
193	3.7803783
194	3.7934415
