x	y
1	677.2810000
2	677.2810000
3	677.2837500
4	677.2757143
5	677.2766667
6	677.2742222
7	677.2755556
8	677.2762500
9	677.2750475
10	677.2729812
11	677.2794737
12	677.2820468
13	677.2793750
14	677.2750000
15	677.2735714
16	677.2728571
17	677.2591005
18	677.2594444
19	677.2738889
20	677.2731579
21	677.2725000
22	677.2725410
23	677.2738100
24	677.2710000
25	677.2500000
26	677.2500000
27	677.2559259
28	677.2600000
29	677.2591983
30	677.2570000
31	677.2525000
32	677.2508333
33	677.2635714
34	677.2630952
35	677.2626316
36	677.2621053
37	677.2585714
38	677.2612500
39	677.2620000
40	677.2631311
41	677.2590911
42	677.2559933
43	677.2583333
44	677.2669589
45	677.2677918
46	677.2675000
47	677.2658333
48	677.2650000
49	677.2625000
50	677.2625000
51	677.2588333
52	677.2551667
53	677.2551245
54	677.2500000
55	677.2450000
56	677.2468421
57	677.2500000
58	677.2494444
59	677.2490909
60	677.2480000
61	677.2489474
62	677.2486682
63	677.2473339
64	677.2483333
65	677.2507778
66	677.2488889
67	677.2500000
68	677.2621429
69	677.2681103
70	677.2610000
71	677.2573704
72	677.2583333
73	677.2590000
74	677.2563158
75	677.2440000
76	677.2485570
77	677.2487247
78	677.2453531
79	677.2438462
80	677.2400000
81	677.2400000
82	677.2525926
83	677.2516667
84	677.2500000
85	677.2450000
86	677.2431256
87	677.2454863
88	677.2440000
89	677.2461097
90	677.2444444
91	677.2385185
92	677.2372840
93	677.2475000
94	677.2410556
95	677.2344259
96	677.2285123
97	677.2294444
98	677.2256001
99	677.2352632
100	677.2354545
101	677.2350000
102	677.2350000
103	677.2378571
104	677.2350000
105	677.2287975
106	677.2231250
107	677.2225231
108	677.2225000
109	677.2220000
110	677.2238889
111	677.2242593
112	677.2159611
113	677.2172222
114	677.2170000
115	677.2250000
116	677.2300000
117	677.2283333
118	677.2300000
119	677.2307407
120	677.2314815
121	677.2350000
122	677.2350000
123	677.2330000
124	677.2325000
125	677.2325000
126	677.2310000
127	677.2267778
128	677.2294737
129	677.2383333
130	677.2300000
131	677.2392579
132	677.2375000
133	677.2302778
134	677.2250000
135	677.2259854
136	677.2290909
137	677.2280514
138	677.2256468
139	677.2282547
140	677.2322222
141	677.2283333
142	677.2153797
143	677.2250000
144	677.2253704
145	677.2207143
146	677.2212500
147	677.2304167
148	677.2275000
149	677.2250000
150	677.2255556
151	677.2110000
152	677.2080626
153	677.2120000
154	677.2175000
155	677.2179688
156	677.2178571
157	677.2199206
158	677.2123016
159	677.2092857
160	677.2123889
161	677.2140556
162	677.2081667
163	677.2040556
164	677.2075000
165	677.2087500
166	677.2081019
167	677.2074537
168	677.2138889
169	677.2172727
170	677.2183502
171	677.2194276
172	677.2266667
173	677.2250000
174	677.2242405
175	677.2266667
176	677.2257143
177	677.2285714
178	677.2380952
179	677.2372727
180	677.2300000
181	677.2290000
182	677.2283333
183	677.2281250
184	677.2280000
185	677.2286128
186	677.2336094
187	677.2408328
188	677.2480561
189	677.2478571
190	677.2389153
191	677.2490000
192	677.2650000
193	677.2650000
194	677.2550000
195	677.2550000
196	677.2550000
197	677.2550000
198	677.2650000
199	677.2659283
200	677.2663333
201	677.2658148
202	677.2654069
203	677.2666667
204	677.2757046
205	677.2750000
206	677.2709259
207	677.2703086
208	677.2735714
209	677.2779755
210	677.2800000
211	677.2878571
212	677.2880000
213	677.2896111
214	677.2885714
215	677.2765341
216	677.2808447
217	677.2830000
218	677.2891481
219	677.2952963
220	677.3008519
221	677.3037500
222	677.3000000
223	677.2962963
224	677.3005556
225	677.3030000
226	677.3050000
227	677.3261111
228	677.3285714
229	677.3287557
230	677.3281038
231	677.3291642
232	677.3250000
233	677.3229623
234	677.3325000
235	677.3360185
236	677.3363636
237	677.3466667
238	677.3525926
239	677.3562500
240	677.3560000
241	677.3585556
242	677.3675000
243	677.3758333
244	677.3818182
245	677.3937374
246	677.3950000
247	677.4300000
248	677.4400000
249	677.4800000
250	677.5116172
251	677.5461606
252	677.5600000
253	677.6566667
254	677.7218519
255	677.7700000
256	677.8400000
257	677.9550000
258	678.0975000
259	678.2400000
260	678.3800000
261	678.6072222
262	678.8187500
263	679.0800000
264	679.3600000
265	679.6400000
266	679.9800000
267	680.4200000
268	680.8300000
269	681.3200000
270	681.8800000
271	682.4700000
272	683.0600000
273	683.7700000
274	684.4400000
275	685.3300000
276	686.2000000
277	687.0800000
278	688.2000000
279	689.1400000
280	690.1200000
281	691.2800000
282	692.4500000
283	693.5800000
284	694.9100000
285	696.2900000
286	697.7500000
287	699.1800000
288	700.5200000
289	701.9600000
290	703.4700000
291	705.1000000
292	706.6900000
293	708.3300000
294	709.9600000
295	711.7600000
296	713.3700000
297	715.0500000
298	716.6900000
299	718.5600000
300	720.1600000
301	721.8300000
302	723.6200000
303	725.2100000
304	726.8300000
305	728.3700000
306	729.8300000
307	731.5300000
308	733.0100000
309	734.6100000
310	736.0100000
311	737.4200000
312	738.8300000
313	740.0100000
314	741.0900000
315	742.4900000
316	743.6100000
317	744.7000000
318	745.8200000
319	746.7600000
320	747.7100000
321	748.6200000
322	749.4600000
323	750.3200000
324	751.0600000
325	751.8400000
326	752.4800000
327	753.1200000
328	753.7400000
329	754.3100000
330	754.8400000
331	755.3700000
332	755.8700000
333	756.2400000
334	756.7400000
335	757.1100000
336	757.4700000
337	757.8300000
338	758.1800000
339	758.4400000
340	758.7250000
341	759.0025000
342	759.2500000
343	759.5050000
344	759.7275000
345	759.9287500
346	760.1300000
347	760.3220000
348	760.4860000
349	760.6500000
350	760.8350000
351	760.9733333
352	761.1185185
353	761.2330000
354	761.3714444
355	761.4800000
356	761.5946667
357	761.6760000
358	761.7573333
359	761.8600000
360	761.9550000
361	762.0353704
362	762.1016667
363	762.1909259
364	762.2200000
365	762.2888889
366	762.3362500
367	762.3866667
368	762.4614815
369	762.5157407
370	762.5550000
371	762.5800000
372	762.6150000
373	762.6475000
374	762.6810185
375	762.7145370
376	762.7548457
377	762.7675000
378	762.8302778
379	762.8337963
380	762.8373148
381	762.8550000
382	762.8716667
383	762.8825000
384	762.8875000
385	762.8925000
386	762.9354545
387	762.9458923
388	762.9460000
389	762.9550000
390	762.9583333
391	762.9590000
392	762.9775000
393	762.9843519
394	762.9816667
395	762.9805556
396	762.9850000
397	762.9863636
398	762.9942857
399	762.9946172
400	762.9943750
401	762.9880000
402	762.9841481
403	762.9845455
404	762.9845455
405	762.9788889
406	762.9750000
407	762.9687037
408	762.9630000
409	762.9600000
410	762.9488889
411	762.9377778
412	762.9148148
413	762.9092857
414	762.9090212
415	762.9087566
416	762.9050000
417	762.8890000
418	762.8704074
419	762.8680000
420	762.8600000
421	762.8560393
422	762.8443750
423	762.8259028
424	762.8127273
425	762.8075000
426	762.7842857
427	762.7540000
428	762.7328148
429	762.7183333
430	762.6900000
431	762.6900000
432	762.6677778
433	762.6572593
434	762.6467407
435	762.6459506
436	762.6138889
437	762.6100000
438	762.5751852
439	762.5650000
440	762.5430000
441	762.5266667
442	762.5010127
443	762.5000000
444	762.4925000
445	762.4561667
446	762.4550000
447	762.4325000
448	762.3967593
449	762.3610185
450	762.3520000
451	762.3277037
452	762.3207143
453	762.3100000
454	762.2996296
455	762.2892593
456	762.2467901
457	762.2450000
458	762.1942593
459	762.1900000
460	762.1700000
461	762.1593333
462	762.1194737
463	762.0900000
464	762.0750000
465	762.0600000
466	762.0350000
467	762.0235185
468	762.0000000
469	761.9640000
470	761.9400000
471	761.9400000
472	761.9300000
473	761.9000000
474	761.8666667
475	761.8450000
476	761.8300000
477	761.8200000
478	761.7873333
479	761.7825000
480	761.7153692
481	761.6864564
482	761.6874518
483	761.6775000
484	761.6500000
485	761.6325000
486	761.5908333
487	761.5754630
488	761.5600926
489	761.5483333
490	761.5296667
491	761.4965556
