x	y
1	35323.9977623
2	35323.8353454
3	35323.6729284
4	35323.5335389
5	35323.4387159
6	35323.5436746
7	35323.5763326
8	35323.7359840
9	35323.6380198
10	35323.5035297
11	35323.6089905
12	35324.6192094
13	35324.7411323
14	35324.0270121
15	35323.7134959
16	35323.4783587
17	35323.0864635
18	35323.1387162
19	35323.5489967
20	35323.8971249
21	35323.0864635
22	35323.0690459
23	35323.3104036
24	35323.3739916
25	35323.2824111
26	35323.0454000
27	35323.0211476
28	35323.1909689
29	35323.5343438
30	35323.8744010
31	35323.9858987
32	35323.9167008
33	35324.0018534
34	35323.6089905
35	35323.6089905
36	35323.3477270
37	35323.3738533
38	35323.7134959
39	35323.3477270
40	35323.2780567
41	35323.2083865
42	35323.1797247
43	35323.1756091
44	35323.1714936
45	35323.0567483
46	35322.9999458
47	35323.2606392
48	35323.7367193
49	35323.6709196
50	35323.7277466
51	35324.2725214
52	35324.3168038
53	35324.1605468
54	35324.1315175
55	35323.7396222
56	35323.7396222
57	35324.5959859
58	35324.9806239
59	35325.1019248
60	35324.9806239
61	35324.9806239
62	35324.8282202
63	35324.8678055
64	35325.0459398
65	35325.0430368
66	35325.1112556
67	35325.5612094
68	35325.4900877
69	35325.0720661
70	35324.9153080
71	35325.2885416
72	35325.3493648
73	35325.4101881
74	35325.4378350
75	35325.9603620
76	35326.4480539
77	35326.4828890
78	35326.4828890
79	35326.9238399
80	35327.3319954
81	35327.1957525
82	35327.2231356
83	35327.3711849
84	35327.5279430
85	35327.4582727
86	35327.4756903
87	35327.3279718
88	35327.1687057
89	35327.7601772
90	35328.6117027
91	35328.8016026
92	35328.7653160
93	35328.7290294
94	35328.7304775
95	35330.1405780
96	35331.4095721
97	35331.4344544
98	35331.4593366
99	35334.7216745
100	35335.6271115
101	35340.1992227
102	35342.6812260
103	35350.7320124
104	35358.7827987
105	35366.1949410
106	35378.9968525
107	35394.7846326
108	35411.6879663
109	35429.4207080
110	35456.8533755
111	35484.2860430
112	35520.3404060
113	35556.3947690
114	35603.4221990
115	35658.2875340
116	35714.1979230
117	35774.8110550
118	35845.8747270
119	35928.4339930
120	36005.7679890
121	36084.6695660
122	36176.1117910
123	36282.7072990
124	36380.4198480
125	36495.8983150
126	36608.7641470
127	36739.9184240
128	36862.7122690
129	36978.7132630
130	37111.9576480
131	37249.9047760
132	37382.6266340
133	37526.8440860
134	37659.5659440
135	37803.7833960
136	37934.4151460
137	38061.3892070
138	38174.2550390
139	38315.8598560
140	38427.1581070
141	38538.4563580
142	38647.1419740
143	38750.0797930
144	38847.2698150
145	38924.6038110
146	39006.6405500
147	39086.0646540
148	39155.0382180
149	39211.9936610
150	39270.5166850
151	39323.8144390
152	39370.8418690
153	39415.2566640
154	39457.0588240
155	39492.5906600
156	39529.6900770
157	39558.4290620
158	39585.6004660
159	39609.8979715
160	39632.2360008
161	39653.5942919
162	39674.9525830
163	39688.0157580
164	39704.7366220
165	39720.4124320
166	39733.9981340
167	39745.4937280
168	39756.7280585
169	39767.4301856
170	39776.6820583
171	39785.8383127
172	39792.5211580
173	39799.4881847
174	39805.7410911
175	39806.6293870
176	39814.7285555
177	39819.3925928
178	39823.3502510
179	39827.5304670
180	39831.9429172
181	39834.3233180
182	39836.9359530
183	39840.3976944
184	39842.3861999
185	39843.5048639
186	39843.7288040
187	39846.7333342
188	39846.8639660
189	39848.5621787
190	39848.6928105
191	39850.5390726
192	39851.3925333
193	39851.9942311
194	39852.6988508
195	39853.1342900
196	39853.2649218
197	39853.3955535
198	39853.5697292
199	39853.5261852
200	39853.1100989
201	39853.1342900
202	39852.8207738
203	39852.0544009
204	39852.0239201
205	39850.5579416
