x	y
1	0.4645976
2	0.4646233
3	0.4647472
4	0.4647405
5	0.4647565
6	0.4647772
7	0.4647566
8	0.4647479
9	0.4647445
10	0.4647660
11	0.4647246
12	0.4647029
13	0.4645905
14	0.4645825
15	0.4645925
16	0.4647401
17	0.4646672
18	0.4646144
19	0.4646169
20	0.4645387
21	0.4644626
22	0.4643513
23	0.4642101
24	0.4642670
25	0.4642789
26	0.4641831
27	0.4641719
28	0.4641575
29	0.4640372
30	0.4638864
31	0.4638995
32	0.4639831
33	0.4640911
34	0.4639568
35	0.4644365
36	0.4646310
37	0.4652319
38	0.4655716
39	0.4659210
40	0.4665435
41	0.4670294
42	0.4677400
43	0.4680274
44	0.4686545
45	0.4690986
46	0.4694774
47	0.4697726
48	0.4696473
49	0.4698636
50	0.4701052
51	0.4702161
52	0.4702874
53	0.4703648
54	0.4702168
55	0.4701570
56	0.4701350
57	0.4700858
58	0.4700169
59	0.4699348
60	0.4699510
61	0.4699107
62	0.4698899
63	0.4699206
64	0.4698644
65	0.4698041
66	0.4698353
67	0.4698249
68	0.4698417
69	0.4698176
70	0.4697606
71	0.4697928
72	0.4697824
73	0.4697606
74	0.4697142
75	0.4697043
76	0.4696024
77	0.4696124
78	0.4696015
79	0.4695973
80	0.4695963
81	0.4694687
82	0.4695116
83	0.4695289
84	0.4695660
85	0.4695415
86	0.4696412
87	0.4697122
88	0.4697594
89	0.4698242
90	0.4697605
91	0.4699071
92	0.4699608
93	0.4700699
94	0.4700479
95	0.4700043
96	0.4696879
97	0.4699061
98	0.4698914
99	0.4693579
100	0.4691640
101	0.4689092
102	0.4685049
103	0.4684125
104	0.4681842
105	0.4679491
106	0.4680222
107	0.4678300
108	0.4677662
109	0.4675920
110	0.4674366
111	0.4674631
112	0.4675049
113	0.4672857
114	0.4674333
115	0.4672882
116	0.4673517
117	0.4673257
118	0.4673743
119	0.4673286
120	0.4671522
121	0.4672045
122	0.4670050
123	0.4668896
124	0.4668053
125	0.4666905
126	0.4667469
127	0.4667941
128	0.4667515
129	0.4667066
130	0.4665200
131	0.4665551
132	0.4665121
133	0.4664860
134	0.4664432
135	0.4664382
136	0.4663815
137	0.4662673
138	0.4662029
139	0.4661594
140	0.4661749
141	0.4660655
142	0.4660561
143	0.4660766
144	0.4660892
145	0.4660406
146	0.4660649
147	0.4660345
148	0.4659257
149	0.4659644
150	0.4659425
151	0.4659309
152	0.4658870
153	0.4658889
154	0.4657295
155	0.4657044
156	0.4656865
157	0.4658327
158	0.4657951
159	0.4657546
160	0.4656936
161	0.4656448
162	0.4656293
163	0.4657198
164	0.4656532
165	0.4656695
166	0.4656499
167	0.4655367
168	0.4653700
169	0.4653214
170	0.4652843
171	0.4652613
172	0.4652924
173	0.4653970
174	0.4653008
175	0.4652955
176	0.4653447
177	0.4653364
178	0.4653461
179	0.4653558
180	0.4653558
181	0.4653817
182	0.4654066
183	0.4653099
184	0.4652741
185	0.4652814
186	0.4652254
187	0.4651827
188	0.4651379
189	0.4651013
190	0.4650940
191	0.4650897
192	0.4651334
193	0.4651024
194	0.4650359
195	0.4649787
196	0.4650129
197	0.4650396
198	0.4649445
199	0.4649603
200	0.4649339
201	0.4649732
202	0.4648941
203	0.4649097
204	0.4649050
205	0.4648514
206	0.4648151
207	0.4648773
208	0.4648801
209	0.4647225
210	0.4647558
211	0.4648172
212	0.4647921
213	0.4648042
214	0.4648197
215	0.4648273
216	0.4648397
217	0.4648988
218	0.4648549
219	0.4646718
220	0.4647021
221	0.4647392
222	0.4647324
223	0.4647153
224	0.4647616
225	0.4648400
226	0.4648400
227	0.4647564
228	0.4647822
229	0.4647581
230	0.4647322
231	0.4646564
232	0.4646319
