x	y
1	-0.0056436
2	-0.0056439
3	-0.0056455
4	-0.0056454
5	-0.0056456
6	-0.0056458
7	-0.0056456
8	-0.0056455
9	-0.0056454
10	-0.0056457
11	-0.0056452
12	-0.0056449
13	-0.0056435
14	-0.0056435
15	-0.0056436
16	-0.0056454
17	-0.0056445
18	-0.0056438
19	-0.0056439
20	-0.0056429
21	-0.0056420
22	-0.0056406
23	-0.0056389
24	-0.0056396
25	-0.0056398
26	-0.0056386
27	-0.0056385
28	-0.0056383
29	-0.0056368
30	-0.0056350
31	-0.0056352
32	-0.0056362
33	-0.0056375
34	-0.0056358
35	-0.0056417
36	-0.0056440
37	-0.0056513
38	-0.0056555
39	-0.0056597
40	-0.0056673
41	-0.0056732
42	-0.0056818
43	-0.0056853
44	-0.0056929
45	-0.0056983
46	-0.0057029
47	-0.0057065
48	-0.0057050
49	-0.0057076
50	-0.0057105
51	-0.0057119
52	-0.0057127
53	-0.0057137
54	-0.0057119
55	-0.0057112
56	-0.0057109
57	-0.0057103
58	-0.0057095
59	-0.0057085
60	-0.0057087
61	-0.0057082
62	-0.0057079
63	-0.0057083
64	-0.0057076
65	-0.0057069
66	-0.0057073
67	-0.0057071
68	-0.0057073
69	-0.0057070
70	-0.0057064
71	-0.0057067
72	-0.0057066
73	-0.0057064
74	-0.0057058
75	-0.0057057
76	-0.0057044
77	-0.0057046
78	-0.0057044
79	-0.0057044
80	-0.0057044
81	-0.0057028
82	-0.0057033
83	-0.0057035
84	-0.0057040
85	-0.0057037
86	-0.0057049
87	-0.0057058
88	-0.0057063
89	-0.0057071
90	-0.0057063
91	-0.0057081
92	-0.0057088
93	-0.0057101
94	-0.0057098
95	-0.0057093
96	-0.0057055
97	-0.0057081
98	-0.0057079
99	-0.0057015
100	-0.0056991
101	-0.0056960
102	-0.0056911
103	-0.0056900
104	-0.0056872
105	-0.0056843
106	-0.0056852
107	-0.0056829
108	-0.0056821
109	-0.0056800
110	-0.0056781
111	-0.0056784
112	-0.0056790
113	-0.0056763
114	-0.0056781
115	-0.0056763
116	-0.0056771
117	-0.0056768
118	-0.0056774
119	-0.0056768
120	-0.0056747
121	-0.0056753
122	-0.0056729
123	-0.0056715
124	-0.0056705
125	-0.0056691
126	-0.0056697
127	-0.0056703
128	-0.0056698
129	-0.0056693
130	-0.0056670
131	-0.0056674
132	-0.0056669
133	-0.0056666
134	-0.0056661
135	-0.0056660
136	-0.0056653
137	-0.0056639
138	-0.0056631
139	-0.0056626
140	-0.0056628
141	-0.0056615
142	-0.0056614
143	-0.0056616
144	-0.0056618
145	-0.0056612
146	-0.0056615
147	-0.0056611
148	-0.0056598
149	-0.0056602
150	-0.0056600
151	-0.0056598
152	-0.0056593
153	-0.0056593
154	-0.0056574
155	-0.0056571
156	-0.0056569
157	-0.0056586
158	-0.0056582
159	-0.0056577
160	-0.0056569
161	-0.0056564
162	-0.0056562
163	-0.0056573
164	-0.0056565
165	-0.0056567
166	-0.0056564
167	-0.0056550
168	-0.0056530
169	-0.0056524
170	-0.0056520
171	-0.0056517
172	-0.0056521
173	-0.0056533
174	-0.0056522
175	-0.0056521
176	-0.0056527
177	-0.0056526
178	-0.0056527
179	-0.0056528
180	-0.0056528
181	-0.0056532
182	-0.0056535
183	-0.0056523
184	-0.0056519
185	-0.0056519
186	-0.0056513
187	-0.0056507
188	-0.0056502
189	-0.0056498
190	-0.0056497
191	-0.0056496
192	-0.0056501
193	-0.0056498
194	-0.0056490
195	-0.0056483
196	-0.0056487
197	-0.0056490
198	-0.0056478
199	-0.0056480
200	-0.0056477
201	-0.0056482
202	-0.0056472
203	-0.0056474
204	-0.0056474
205	-0.0056467
206	-0.0056463
207	-0.0056470
208	-0.0056471
209	-0.0056452
210	-0.0056456
211	-0.0056463
212	-0.0056460
213	-0.0056461
214	-0.0056463
215	-0.0056464
216	-0.0056466
217	-0.0056473
218	-0.0056468
219	-0.0056445
220	-0.0056449
221	-0.0056454
222	-0.0056453
223	-0.0056451
224	-0.0056456
225	-0.0056466
226	-0.0056466
227	-0.0056456
228	-0.0056459
229	-0.0056456
230	-0.0056453
231	-0.0056443
232	-0.0056441
233	-0.0056434
234	-0.0056436
235	-0.0056442
236	-0.0056442
237	-0.0056441
238	-0.0056427
239	-0.0056430
240	-0.0056432
241	-0.0056440
242	-0.0056438
243	-0.0056435
244	-0.0056439
245	-0.0056437
246	-0.0056433
247	-0.0056433
248	-0.0056435
249	-0.0056438
250	-0.0056438
251	-0.0056438
252	-0.0056436
253	-0.0056437
254	-0.0056437
255	-0.0056435
256	-0.0056427
257	-0.0056426
258	-0.0056425
259	-0.0056415
260	-0.0056416
261	-0.0056423
262	-0.0056423
263	-0.0056428
264	-0.0056426
265	-0.0056425
266	-0.0056428
267	-0.0056429
268	-0.0056424
269	-0.0056419
270	-0.0056420
271	-0.0056419
272	-0.0056406
273	-0.0056408
274	-0.0056409
275	-0.0056417
276	-0.0056417
277	-0.0056420
278	-0.0056421
279	-0.0056426
280	-0.0056423
281	-0.0056425
282	-0.0056416
283	-0.0056420
284	-0.0056421
285	-0.0056427
286	-0.0056427
287	-0.0056426
288	-0.0056426
289	-0.0056427
290	-0.0056424
291	-0.0056415
292	-0.0056410
293	-0.0056409
294	-0.0056412
295	-0.0056412
296	-0.0056413
297	-0.0056415
298	-0.0056413
299	-0.0056399
300	-0.0056401
301	-0.0056401
302	-0.0056404
303	-0.0056410
304	-0.0056414
305	-0.0056417
306	-0.0056409
307	-0.0056411
308	-0.0056409
309	-0.0056408
310	-0.0056399
311	-0.0056397
312	-0.0056403
313	-0.0056411
314	-0.0056414
315	-0.0056412
316	-0.0056410
317	-0.0056406
318	-0.0056408
319	-0.0056404
320	-0.0056403
321	-0.0056410
322	-0.0056415
323	-0.0056415
324	-0.0056414
325	-0.0056401
326	-0.0056402
327	-0.0056398
328	-0.0056402
329	-0.0056399
330	-0.0056399
331	-0.0056399
332	-0.0056404
333	-0.0056407
334	-0.0056410
335	-0.0056413
336	-0.0056409
337	-0.0056410
338	-0.0056404
339	-0.0056399
340	-0.0056398
341	-0.0056392
342	-0.0056391
343	-0.0056391
344	-0.0056392
345	-0.0056400
346	-0.0056389
347	-0.0056392
348	-0.0056400
349	-0.0056399
350	-0.0056397
351	-0.0056390
352	-0.0056389
353	-0.0056383
354	-0.0056397
355	-0.0056393
356	-0.0056393
357	-0.0056393
358	-0.0056397
359	-0.0056398
360	-0.0056395
361	-0.0056390
362	-0.0056394
363	-0.0056391
364	-0.0056386
365	-0.0056390
366	-0.0056392
367	-0.0056390
368	-0.0056391
369	-0.0056392
370	-0.0056387
371	-0.0056394
372	-0.0056402
373	-0.0056394
374	-0.0056403
375	-0.0056410
376	-0.0056405
377	-0.0056404
378	-0.0056399
379	-0.0056385
380	-0.0056390
381	-0.0056388
382	-0.0056394
383	-0.0056398
384	-0.0056398
385	-0.0056390
386	-0.0056393
387	-0.0056390
388	-0.0056392
