x	y
1	0.0428130
2	0.0428129
3	0.0428128
4	0.0428125
5	0.0428124
6	0.0428108
7	0.0428109
8	0.0428112
9	0.0428112
10	0.0428109
11	0.0428109
12	0.0428108
13	0.0428102
14	0.0428102
15	0.0428099
16	0.0428100
17	0.0428114
18	0.0428111
19	0.0428112
20	0.0428119
21	0.0428121
22	0.0428123
23	0.0428122
24	0.0428123
25	0.0428125
26	0.0428126
27	0.0428127
28	0.0428127
29	0.0428130
30	0.0428141
31	0.0428151
32	0.0428162
33	0.0428172
34	0.0428181
35	0.0428212
36	0.0428216
37	0.0428254
38	0.0428277
39	0.0428303
40	0.0428325
41	0.0428347
42	0.0428373
43	0.0428390
44	0.0428423
45	0.0428449
46	0.0428449
47	0.0428469
48	0.0428479
49	0.0428478
50	0.0428492
51	0.0428501
52	0.0428508
53	0.0428513
54	0.0428513
55	0.0428513
56	0.0428513
57	0.0428514
58	0.0428512
59	0.0428512
60	0.0428511
61	0.0428512
62	0.0428512
63	0.0428512
64	0.0428509
65	0.0428505
66	0.0428505
67	0.0428503
68	0.0428502
69	0.0428501
70	0.0428498
71	0.0428489
72	0.0428488
73	0.0428486
74	0.0428479
75	0.0428478
76	0.0428476
77	0.0428460
78	0.0428461
79	0.0428467
80	0.0428463
81	0.0428463
82	0.0428462
83	0.0428461
84	0.0428457
85	0.0428458
86	0.0428451
87	0.0428446
88	0.0428445
89	0.0428443
90	0.0428441
91	0.0428441
92	0.0428425
93	0.0428401
94	0.0428367
95	0.0428347
96	0.0428336
97	0.0428290
98	0.0428278
99	0.0428265
100	0.0428232
101	0.0428208
102	0.0428177
103	0.0428146
104	0.0428112
105	0.0428092
106	0.0428075
107	0.0428057
108	0.0428036
109	0.0428018
110	0.0428011
111	0.0428002
112	0.0427993
113	0.0427982
114	0.0427979
115	0.0427969
116	0.0427965
117	0.0427959
118	0.0427938
119	0.0427937
120	0.0427938
121	0.0427940
122	0.0427940
123	0.0427937
124	0.0427929
125	0.0427925
126	0.0427924
127	0.0427923
128	0.0427923
129	0.0427922
130	0.0427914
131	0.0427914
132	0.0427915
133	0.0427916
134	0.0427916
135	0.0427915
136	0.0427906
137	0.0427906
138	0.0427903
139	0.0427903
140	0.0427902
141	0.0427903
142	0.0427901
143	0.0427897
144	0.0427890
145	0.0427885
146	0.0427889
147	0.0427894
148	0.0427900
149	0.0427895
150	0.0427886
151	0.0427887
152	0.0427887
153	0.0427886
154	0.0427884
155	0.0427885
156	0.0427884
157	0.0427885
158	0.0427885
159	0.0427883
160	0.0427883
161	0.0427876
162	0.0427877
163	0.0427876
164	0.0427873
165	0.0427872
166	0.0427869
167	0.0427868
168	0.0427867
169	0.0427868
170	0.0427871
171	0.0427876
172	0.0427873
173	0.0427873
174	0.0427872
175	0.0427872
176	0.0427873
177	0.0427871
178	0.0427862
179	0.0427863
180	0.0427864
181	0.0427862
182	0.0427861
183	0.0427861
184	0.0427861
185	0.0427861
186	0.0427859
187	0.0427860
188	0.0427860
189	0.0427860
190	0.0427860
191	0.0427862
192	0.0427859
193	0.0427857
194	0.0427854
195	0.0427852
196	0.0427852
197	0.0427851
198	0.0427851
199	0.0427850
200	0.0427849
201	0.0427847
202	0.0427840
203	0.0427842
204	0.0427845
205	0.0427845
206	0.0427844
207	0.0427844
208	0.0427844
209	0.0427844
210	0.0427848
211	0.0427845
212	0.0427846
213	0.0427846
214	0.0427846
215	0.0427847
216	0.0427849
217	0.0427849
218	0.0427848
219	0.0427845
220	0.0427848
221	0.0427843
222	0.0427842
223	0.0427844
224	0.0427845
225	0.0427845
226	0.0427843
227	0.0427843
228	0.0427842
229	0.0427835
230	0.0427832
231	0.0427832
232	0.0427830
233	0.0427830
234	0.0427829
235	0.0427831
236	0.0427834
237	0.0427832
238	0.0427830
239	0.0427830
240	0.0427829
241	0.0427829
242	0.0427829
243	0.0427829
244	0.0427829
245	0.0427824
246	0.0427824
247	0.0427824
248	0.0427830
249	0.0427830
250	0.0427825
251	0.0427821
252	0.0427820
253	0.0427819
254	0.0427822
255	0.0427823
256	0.0427823
257	0.0427814
258	0.0427816
259	0.0427821
260	0.0427821
261	0.0427818
262	0.0427818
263	0.0427818
264	0.0427818
265	0.0427818
266	0.0427818
267	0.0427823
268	0.0427827
269	0.0427827
270	0.0427827
271	0.0427826
272	0.0427820
273	0.0427818
274	0.0427816
