x	y
1	39934.6030274
2	39934.5554313
3	39934.5114707
4	39934.5962493
5	39936.0631955
6	39936.0622278
7	39935.6935560
8	39935.6935560
9	39935.6935560
10	39935.6282401
11	39935.1299042
12	39935.2232817
13	39934.9334147
14	39934.6273558
15	39934.5419243
16	39934.4743263
17	39934.5867689
18	39934.7435069
19	39934.7231487
20	39934.0737223
21	39933.1331737
22	39933.2234284
23	39933.7090090
24	39933.6687639
25	39933.8660893
26	39933.7934578
27	39933.6034480
28	39934.3349858
29	39934.3872385
30	39934.4198964
31	39934.4590860
32	39934.9337147
33	39936.3031708
34	39936.6079783
35	39938.0304129
36	39943.0089340
37	39946.6085644
38	39948.2342040
39	39952.3273322
40	39957.4945436
41	39959.9910615
42	39965.2356844
43	39966.5226490
44	39971.7479190
45	39974.5565016
46	39974.8830810
47	39977.8876113
48	39977.8876113
49	39978.1488748
50	39979.9515929
51	39980.5437902
52	39982.0726655
53	39981.9371955
54	39981.7412479
55	39982.1113712
56	39982.9435438
57	39982.9449261
58	39983.0776314
59	39983.1564252
60	39983.1564252
61	39983.2435130
62	39983.1688663
63	39983.3085406
64	39983.2870569
65	39983.3306008
66	39983.4394606
67	39983.7660400
68	39983.9603444
69	39984.0273035
70	39984.3175963
71	39984.2972758
72	39984.3212249
73	39984.2014792
74	39983.6015408
75	39983.2165620
76	39983.2435130
77	39982.8777441
78	39982.9449261
79	39983.1485081
80	39983.2725423
81	39983.3827802
82	39983.4489784
83	39983.5047765
84	39983.4335228
85	39983.3726420
86	39983.5760302
87	39983.4932517
88	39983.8966717
89	39983.7192182
90	39982.9763187
91	39983.1128812
92	39983.1612634
93	39982.0864889
94	39981.9371955
95	39980.4857316
96	39979.3245605
97	39975.6117523
98	39974.2299223
99	39968.9872347
100	39965.1423068
101	39962.5383806
102	39958.0065057
103	39957.5090582
104	39956.5946360
105	39950.5855755
106	39949.2792580
107	39946.1440960
108	39944.9684103
109	39942.5396273
110	39942.3557753
111	39941.8042190
112	39940.7262651
113	39940.6053098
114	39939.3047982
115	39938.0042865
116	39938.0971802
117	39938.1942209
118	39937.9796116
119	39937.9736738
120	39938.5674545
121	39938.3061910
122	39937.7256054
123	39938.0449275
124	39937.8786689
125	39936.9601204
126	39937.1027552
127	39937.0907598
128	39937.2238136
129	39937.1958211
130	39937.7256054
131	39937.7256054
132	39937.7256054
133	39937.7836640
134	39936.5519932
135	39936.3828569
136	39936.4447873
137	39936.3467147
138	39935.3693957
139	39935.1710290
140	39935.5629242
141	39935.5629242
142	39936.4051407
143	39936.4773465
144	39936.4773465
145	39935.9548195
146	39935.8139831
147	39935.6189093
148	39935.7225853
149	39935.6141626
150	39935.4649504
151	39934.5287562
152	39934.5738553
153	39934.6485020
154	39935.0742647
155	39935.1710290
156	39935.2261478
157	39934.9844122
158	39934.9152949
159	39934.8461776
160	39934.8807362
161	39934.8444496
162	39933.9416023
163	39933.4728163
164	39933.0567299
165	39933.0693093
166	39933.1099503
167	39933.7485944
168	39933.7353659
169	39933.6502343
170	39933.6469919
171	39933.4244341
172	39934.3219226
173	39934.4388229
174	39934.2566068
175	39933.9169642
176	39933.9169642
177	39933.8792261
178	39933.5084016
179	39933.3421845
180	39933.2234284
181	39932.8849734
182	39933.0809210
183	39933.0787162
184	39932.5887301
185	39932.6703641
186	39933.1680088
187	39933.4970073
188	39933.4583016
189	39933.3659357
190	39932.7674048
191	39932.3958300
192	39932.0242553
193	39931.9721881
194	39931.9836143
195	39932.0358670
196	39932.2497283
197	39932.0068377
198	39932.0068377
199	39932.1229548
200	39932.1338408
201	39931.8217761
202	39932.0419148
203	39932.2620535
204	39932.2390719
205	39932.0358670
206	39931.9858678
207	39931.9052353
208	39930.9859748
209	39930.9617837
210	39931.0281364
211	39931.0549085
212	39930.8960611
213	39930.8044062
214	39930.8485695
215	39931.0285511
216	39930.7585788
217	39929.9457590
218	39929.6844955
219	39929.8586712
220	39930.0328468
221	39929.3361442
222	39929.3682292
223	39929.5538637
224	39929.5538637
225	39929.6155970
226	39929.5103198
227	39929.6332345
228	39929.5103198
229	39928.5666849
230	39928.6848596
231	39928.6394415
232	39928.6394415
233	39928.9007050
234	39929.4232320
235	39929.6191796
236	39929.4885479
237	39929.3288868
238	39929.2214603
239	39929.0052104
240	39927.7810043
241	39927.9536248
242	39928.2040023
243	39928.1169145
244	39928.1169145
245	39928.2475463
246	39928.4434939
247	39928.4528247
248	39928.6720994
249	39928.5524915
250	39928.6046064
251	39928.3781780
252	39927.5653582
253	39927.6814753
254	39927.6043090
255	39927.8759715
