x	y
1	673.6125000
2	673.6275000
3	673.6266667
4	673.6287500
5	673.6285714
6	673.6235979
7	673.6245326
8	673.6235714
9	673.6254581
10	673.6234444
11	673.6150000
12	673.5931481
13	673.5950000
14	673.6057407
15	673.6010556
16	673.6050000
17	673.6050000
18	673.6050000
19	673.6049444
20	673.6073684
21	673.5994515
22	673.6007143
23	673.6038496
24	673.6006250
25	673.6100000
26	673.6125000
27	673.6125000
28	673.6166667
29	673.6250000
30	673.6600000
31	673.7100000
32	673.7351852
33	673.7410000
34	673.7950000
35	673.8375000
36	673.8802778
37	673.9363636
38	673.9975000
39	674.0438333
40	674.0901667
41	674.1125000
42	674.1675000
43	674.2100000
44	674.2450000
45	674.2725000
46	674.3183333
47	674.3610000
48	674.3650000
49	674.4060000
50	674.4101772
51	674.4125000
52	674.4157315
53	674.4187500
54	674.4200000
55	674.4372727
56	674.4483333
57	674.4487500
58	674.4850000
59	674.4850844
60	674.4837500
61	674.4780000
62	674.4721429
63	674.4721053
64	674.4750000
65	674.4816667
66	674.4845781
67	674.4844766
68	674.4836364
69	674.4725000
70	674.4700000
71	674.4719444
72	674.4666667
73	674.4592593
74	674.4525000
75	674.4495482
76	674.4487500
77	674.4485714
78	674.4520000
79	674.4516624
80	674.4561111
81	674.4572323
82	674.4550000
83	674.4370000
84	674.4337500
85	674.4337500
86	674.4329167
87	674.4293056
88	674.3971759
89	674.4038889
90	674.4000000
91	674.3825000
92	674.3592898
93	674.3562500
94	674.3137500
95	674.2816667
96	674.2400000
97	674.2225000
98	674.1319444
99	674.0832407
100	674.0462500
101	674.0125000
102	673.9500926
103	673.9154545
104	673.8950000
105	673.8490000
106	673.8037407
107	673.7950000
108	673.7633333
109	673.7500000
110	673.7203704
111	673.7075000
112	673.6800000
113	673.6500000
114	673.6466667
115	673.6464286
116	673.6256250
117	673.6240972
118	673.6200000
119	673.6081481
120	673.6080494
121	673.6079506
122	673.5982058
123	673.5962500
124	673.5950463
125	673.5850000
126	673.5616667
127	673.5625000
128	673.5612342
129	673.5637222
130	673.5642037
131	673.5646852
132	673.5640000
133	673.5613333
134	673.5622222
135	673.5611111
136	673.5570000
137	673.5583333
138	673.5583333
139	673.5453797
140	673.5430436
141	673.5428571
142	673.5409524
143	673.5418750
144	673.5420000
145	673.5520000
146	673.5540000
147	673.5539156
148	673.5542857
149	673.5554286
150	673.5565078
151	673.5479367
152	673.5433333
153	673.5224444
154	673.5233333
155	673.5281818
156	673.5407071
157	673.5322222
158	673.5333333
159	673.5355556
160	673.5357143
161	673.5321429
162	673.5200000
163	673.5201266
164	673.5263596
165	673.5312500
166	673.5285714
167	673.5222038
168	673.5260000
169	673.5325000
170	673.5375000
171	673.5393750
172	673.5293750
173	673.5294277
174	673.5250000
175	673.5262313
176	673.5262244
177	673.5293311
178	673.5290000
179	673.5230506
180	673.5253329
181	673.5275000
182	673.5275000
183	673.5262037
184	673.5285714
185	673.5283333
186	673.5285237
187	673.5273684
188	673.5272222
189	673.5257143
190	673.5231746
191	673.5058333
192	673.5100000
193	673.5100000
194	673.5150000
195	673.5237500
196	673.5271759
197	673.5244444
198	673.5200000
199	673.5200000
200	673.5209091
201	673.5200000
202	673.5110180
203	673.5110526
204	673.5118182
205	673.5100000
206	673.5125000
207	673.5140000
208	673.5100000
209	673.5063713
210	673.5070000
211	673.5078947
212	673.5077778
213	673.5062963
214	673.5063636
215	673.5047408
216	673.5037500
217	673.5036364
218	673.5035714
219	673.5104286
220	673.5112500
221	673.5112500
222	673.5100000
223	673.5116667
224	673.5111111
225	673.5083333
226	673.5017511
227	673.5021667
228	673.5000000
229	673.5000000
230	673.4990909
231	673.4981452
232	673.4914286
233	673.4916667
234	673.4927778
235	673.4921952
236	673.4938048
237	673.4964535
238	673.4954545
239	673.4954545
240	673.4958333
241	673.5036814
242	673.5018750
243	673.5053316
244	673.5100000
245	673.5045455
246	673.5052189
247	673.5050000
248	673.4950000
249	673.4950000
250	673.4981250
251	673.4966667
252	673.4950000
253	673.4962500
254	673.5071429
255	673.5063636
256	673.5100000
257	673.5022222
258	673.4890577
259	673.4900000
260	673.4908333
261	673.4925000
262	673.5004630
263	673.5000000
264	673.4970370
265	673.4967901
266	673.4987639
267	673.4993230
268	673.4991077
269	673.4988923
270	673.5000000
271	673.5000000
272	673.4968421
273	673.4915400
274	673.4862378
275	673.4862500
276	673.4860000
277	673.4775000
278	673.4787500
279	673.4883333
280	673.4914286
281	673.4912169
282	673.4910053
283	673.4862500
284	673.4760833
285	673.4800000
286	673.4800000
287	673.4814286
288	673.4810000
289	673.4837500
290	673.4822222
291	673.4825000
292	673.4821053
293	673.4810000
294	673.4775000
295	673.4790909
296	673.4860000
297	673.4900000
298	673.4843038
299	673.4756962
300	673.4778571
301	673.4792857
302	673.4783333
303	673.4645359
304	673.4660000
305	673.4694074
306	673.4650000
307	673.4660000
308	673.4760000
309	673.4770000
310	673.4760000
311	673.4822222
312	673.4837037
313	673.4851852
314	673.4805263
315	673.4800000
316	673.4800000
317	673.4800000
318	673.4651852
319	673.4666667
320	673.4657778
321	673.4666667
322	673.4661111
323	673.4654545
324	673.4700000
325	673.4728571
326	673.4739153
327	673.4749735
328	673.4868198
329	673.4794737
330	673.4700000
331	673.4707143
332	673.4700000
333	673.4593333
334	673.4580000
335	673.4590000
336	673.4626296
337	673.4648765
338	673.4645838
339	673.4646889
340	673.4590000
341	673.4605263
342	673.4600000
343	673.4609091
344	673.4654882
345	673.4560270
346	673.4594070
347	673.4627653
348	673.4636364
349	673.4637500
350	673.4643056
351	673.4651389
352	673.4659722
353	673.4683333
354	673.4683351
355	673.4657895
