x	y
1	-0.2979702
2	-0.2979679
3	-0.2979769
4	-0.2980592
5	-0.2980376
6	-0.2980390
7	-0.2980584
8	-0.2980549
9	-0.2980407
10	-0.2980656
11	-0.2980613
12	-0.2980095
13	-0.2980238
14	-0.2980114
15	-0.2980022
16	-0.2980112
17	-0.2980327
18	-0.2980443
19	-0.2980627
20	-0.2980586
21	-0.2980447
22	-0.2980422
23	-0.2980735
24	-0.2980177
25	-0.2980257
26	-0.2980165
27	-0.2980058
28	-0.2979082
29	-0.2979345
30	-0.2977998
31	-0.2977884
32	-0.2977920
33	-0.2977122
34	-0.2976822
35	-0.2977645
36	-0.2978509
37	-0.2981371
38	-0.2981807
39	-0.2983159
40	-0.2985499
41	-0.2985895
42	-0.2988189
43	-0.2990173
44	-0.2991383
45	-0.2992773
46	-0.2993923
47	-0.2994270
48	-0.2995182
49	-0.2994015
50	-0.2997059
51	-0.2997885
52	-0.2997663
53	-0.2997641
54	-0.2997556
55	-0.2997532
56	-0.2997067
57	-0.2997309
58	-0.2997069
59	-0.2996933
60	-0.2996772
61	-0.2996271
62	-0.2996570
63	-0.2996673
64	-0.2996543
65	-0.2996561
66	-0.2996719
67	-0.2996512
68	-0.2996404
69	-0.2996302
70	-0.2996052
71	-0.2995751
72	-0.2995641
73	-0.2995559
74	-0.2995466
75	-0.2995469
76	-0.2995513
77	-0.2995569
78	-0.2995561
79	-0.2995132
80	-0.2995077
81	-0.2995049
82	-0.2994628
83	-0.2994714
84	-0.2995030
85	-0.2995045
86	-0.2994809
87	-0.2994850
88	-0.2995308
89	-0.2995281
90	-0.2995858
91	-0.2996758
92	-0.2996950
93	-0.2996177
94	-0.2996946
95	-0.2997489
96	-0.2997351
97	-0.2997025
98	-0.2996038
99	-0.2992678
100	-0.2991572
101	-0.2992125
102	-0.2990643
103	-0.2992280
104	-0.2990455
105	-0.2989129
106	-0.2986915
107	-0.2986641
108	-0.2987857
109	-0.2988465
110	-0.2987372
111	-0.2987486
112	-0.2986945
113	-0.2987139
114	-0.2986475
115	-0.2986859
116	-0.2987134
117	-0.2987249
118	-0.2988269
119	-0.2987962
120	-0.2987590
121	-0.2987768
122	-0.2988092
123	-0.2988092
124	-0.2987911
125	-0.2988103
126	-0.2988445
127	-0.2988793
128	-0.2988827
129	-0.2988868
130	-0.2988830
131	-0.2988121
132	-0.2988001
133	-0.2988211
134	-0.2988039
135	-0.2988024
136	-0.2987858
137	-0.2987635
138	-0.2987569
139	-0.2987437
140	-0.2986745
141	-0.2987035
142	-0.2987054
143	-0.2986807
144	-0.2987223
145	-0.2987402
146	-0.2987349
147	-0.2987582
148	-0.2987389
149	-0.2987426
150	-0.2987154
151	-0.2986865
152	-0.2986589
153	-0.2986460
154	-0.2986457
155	-0.2986252
156	-0.2986269
157	-0.2986776
158	-0.2986694
159	-0.2986917
160	-0.2986732
161	-0.2986444
162	-0.2986443
163	-0.2986376
164	-0.2986189
165	-0.2986222
166	-0.2986248
167	-0.2985764
168	-0.2985996
169	-0.2985967
170	-0.2985729
171	-0.2985812
172	-0.2985445
173	-0.2985424
174	-0.2985211
175	-0.2985120
176	-0.2985165
177	-0.2985339
178	-0.2985257
179	-0.2985256
180	-0.2985207
181	-0.2985152
182	-0.2985370
183	-0.2985623
184	-0.2985074
185	-0.2985231
186	-0.2985114
187	-0.2984838
188	-0.2985076
189	-0.2984953
190	-0.2984913
191	-0.2984886
192	-0.2984209
193	-0.2984216
194	-0.2984285
195	-0.2983947
196	-0.2984132
197	-0.2984154
198	-0.2984608
199	-0.2984723
200	-0.2984722
201	-0.2984359
202	-0.2984347
203	-0.2984216
204	-0.2983430
205	-0.2983513
206	-0.2983459
207	-0.2983498
208	-0.2983335
209	-0.2983401
210	-0.2982931
211	-0.2982743
212	-0.2983808
213	-0.2983566
214	-0.2983649
215	-0.2983573
216	-0.2983892
217	-0.2984522
218	-0.2984495
219	-0.2983739
220	-0.2983798
221	-0.2983590
222	-0.2983532
223	-0.2983115
224	-0.2982855
225	-0.2982957
