x	y
1	673.1535714
2	673.1533791
3	673.1512500
4	673.1400463
5	673.1366667
6	673.1366667
7	673.1366667
8	673.1462963
9	673.1383333
10	673.1250000
11	673.1287500
12	673.1406944
13	673.1417130
14	673.1410000
15	673.1396667
16	673.1387500
17	673.1316667
18	673.1347101
19	673.1335714
20	673.1290000
21	673.1296329
22	673.1300000
23	673.1355556
24	673.1424444
25	673.1433333
26	673.1500000
27	673.1681818
28	673.1708754
29	673.1735690
30	673.2100000
31	673.2418519
32	673.2600000
33	673.3075000
34	673.3514286
35	673.4087500
36	673.4350000
37	673.4800000
38	673.5640928
39	673.6150000
40	673.6850000
41	673.7379630
42	673.7909259
43	673.8100000
44	673.8550000
45	673.9064815
46	673.9537500
47	673.9700000
48	674.0250000
49	674.0506540
50	674.0562500
51	674.0636364
52	674.0945455
53	674.0956765
54	674.0964285
55	674.0981818
56	674.1000000
57	674.1000000
58	674.1000000
59	674.1107143
60	674.1121523
61	674.1257895
62	674.1243750
63	674.1304500
64	674.1316667
65	674.1312963
66	674.1350000
67	674.1322222
68	674.1189208
69	674.1248255
70	674.1290159
71	674.1288889
72	674.1318333
73	674.1305556
74	674.1183333
75	674.1120370
76	674.1124444
77	674.1125000
78	674.1133333
79	674.1251852
80	674.1255232
81	674.1264274
82	674.1245455
83	674.1118855
84	674.1171429
85	674.1163158
86	674.1062500
87	674.0915278
88	674.0775000
89	674.0732407
90	674.0689815
91	674.0675000
92	674.0300000
93	673.9966667
94	673.9950000
95	673.9294444
96	673.8900000
97	673.8380000
98	673.8275000
99	673.7469444
100	673.6725000
101	673.6100926
102	673.5800000
103	673.5166667
104	673.4828889
105	673.4700000
106	673.4114815
107	673.4100000
108	673.3593333
109	673.3250000
110	673.3200000
111	673.3200000
112	673.2686667
113	673.2470000
114	673.2200000
115	673.2014815
116	673.2012500
117	673.1966667
118	673.1838819
119	673.1694515
120	673.1670000
121	673.1600000
122	673.1533333
123	673.1556250
124	673.1538889
125	673.1455104
126	673.1450000
127	673.1437500
128	673.1450000
129	673.1400000
130	673.1400000
131	673.1400000
132	673.1400000
133	673.1400000
134	673.1311111
135	673.1222222
136	673.1155556
137	673.1088889
138	673.0975000
139	673.1000000
140	673.1100000
141	673.1072222
142	673.1050000
143	673.1063636
144	673.1213805
145	673.1205556
146	673.1083333
147	673.1105556
148	673.1121167
149	673.1050000
150	673.1034017
151	673.1075692
152	673.1083333
153	673.1068649
154	673.1053889
155	673.1036364
156	673.1036364
157	673.1037500
158	673.0999107
159	673.1000000
160	673.1000000
161	673.1000000
162	673.1092857
163	673.1085714
164	673.1087500
165	673.1063636
166	673.1000000
167	673.0987500
168	673.0987500
169	673.1042500
170	673.1036842
171	673.1075000
172	673.1056250
173	673.0989120
174	673.1012500
175	673.1025000
176	673.1050000
177	673.1044444
178	673.0997812
179	673.0965072
180	673.0977778
181	673.0964286
182	673.1000000
183	673.1051852
184	673.1100000
185	673.1100000
186	673.1075000
187	673.1083333
188	673.1078571
189	673.1025000
190	673.0955000
191	673.0957143
192	673.0981818
193	673.1000690
194	673.1012222
195	673.1010526
196	673.1040000
197	673.1075000
198	673.1057143
199	673.0937566
200	673.0912522
201	673.0887478
202	673.0704541
203	673.0730000
204	673.1000000
205	673.1029630
206	673.0992857
207	673.0984286
208	673.1066667
209	673.1050000
210	673.1016667
211	673.0983333
212	673.0994444
213	673.1005556
214	673.1026852
215	673.1005882
216	673.0827778
217	673.0868750
218	673.0911806
219	673.0925000
220	673.0930000
221	673.0950000
222	673.0950000
223	673.0955556
224	673.0940741
225	673.0938889
226	673.0933333
227	673.0957895
228	673.0918750
229	673.0900000
230	673.0898673
231	673.0900000
232	673.0907143
233	673.0900000
234	673.0900000
235	673.0893330
236	673.0906250
237	673.0906250
238	673.0879861
239	673.0890000
240	673.0884290
241	673.0894737
242	673.0887500
243	673.0917328
244	673.0920591
245	673.0923854
246	673.0925000
247	673.0937500
248	673.0931579
249	673.0927273
250	673.0886869
251	673.0900000
252	673.0825000
253	673.0770000
254	673.0780000
255	673.0790127
256	673.0800000
257	673.0860000
258	673.0871852
259	673.0856250
260	673.0850000
261	673.0866667
262	673.0903704
263	673.0887500
264	673.0643981
265	673.0661111
266	673.0800000
267	673.0800000
