x	y
1	-0.2974049
2	-0.2974082
3	-0.2974560
4	-0.2975221
5	-0.2976328
6	-0.2976304
7	-0.2975807
8	-0.2974898
9	-0.2975064
10	-0.2975475
11	-0.2975365
12	-0.2974973
13	-0.2975013
14	-0.2975037
15	-0.2975078
16	-0.2975115
17	-0.2975162
18	-0.2974987
19	-0.2974951
20	-0.2975029
21	-0.2974962
22	-0.2974950
23	-0.2974698
24	-0.2974415
25	-0.2974397
26	-0.2974062
27	-0.2973534
28	-0.2973748
29	-0.2973588
30	-0.2972546
31	-0.2972097
32	-0.2972546
33	-0.2972106
34	-0.2971420
35	-0.2970680
36	-0.2972886
37	-0.2973292
38	-0.2975163
39	-0.2977189
40	-0.2978206
41	-0.2978915
42	-0.2980405
43	-0.2982470
44	-0.2982993
45	-0.2983190
46	-0.2982688
47	-0.2984444
48	-0.2983045
49	-0.2982620
50	-0.2982993
51	-0.2983053
52	-0.2982661
53	-0.2982876
54	-0.2983111
55	-0.2983938
56	-0.2983822
57	-0.2983810
58	-0.2983798
59	-0.2983467
60	-0.2983917
61	-0.2983447
62	-0.2983445
63	-0.2983165
64	-0.2983127
65	-0.2983168
66	-0.2982898
67	-0.2982990
68	-0.2983450
69	-0.2983274
70	-0.2983504
71	-0.2983475
72	-0.2983513
73	-0.2983708
74	-0.2984116
75	-0.2984231
76	-0.2984073
77	-0.2984237
78	-0.2984307
79	-0.2983899
80	-0.2983805
81	-0.2983758
82	-0.2983837
83	-0.2984340
84	-0.2984604
85	-0.2984903
86	-0.2985273
87	-0.2985288
88	-0.2985934
89	-0.2985834
90	-0.2985017
91	-0.2985092
92	-0.2986196
93	-0.2987381
94	-0.2987271
95	-0.2987711
96	-0.2988300
97	-0.2987150
98	-0.2986393
99	-0.2986411
100	-0.2984403
101	-0.2982327
102	-0.2980696
103	-0.2980229
104	-0.2979705
105	-0.2978192
106	-0.2978301
107	-0.2976360
108	-0.2975594
109	-0.2976028
110	-0.2975531
111	-0.2974830
112	-0.2976338
113	-0.2976293
114	-0.2977078
115	-0.2977215
116	-0.2976899
117	-0.2977051
118	-0.2977576
119	-0.2978078
120	-0.2977708
121	-0.2977438
122	-0.2977599
123	-0.2977242
124	-0.2976759
125	-0.2977004
126	-0.2977134
127	-0.2977212
128	-0.2977189
129	-0.2977089
130	-0.2977070
131	-0.2976180
132	-0.2976152
133	-0.2975945
134	-0.2976212
135	-0.2976212
136	-0.2976311
137	-0.2976894
138	-0.2977251
139	-0.2977120
140	-0.2976741
141	-0.2976661
142	-0.2976693
143	-0.2976607
144	-0.2975855
145	-0.2975678
146	-0.2976034
147	-0.2976452
148	-0.2976356
149	-0.2976194
150	-0.2975749
151	-0.2974985
152	-0.2974798
153	-0.2974819
154	-0.2974840
155	-0.2974936
156	-0.2974985
157	-0.2974992
158	-0.2974819
159	-0.2974793
160	-0.2974835
161	-0.2974793
162	-0.2974264
163	-0.2974178
164	-0.2974378
165	-0.2974449
166	-0.2974370
167	-0.2974301
168	-0.2974190
169	-0.2973958
170	-0.2973928
171	-0.2973800
172	-0.2973875
173	-0.2974240
174	-0.2974146
175	-0.2973914
176	-0.2973789
177	-0.2973740
178	-0.2973827
179	-0.2973822
180	-0.2973436
