x	y
1	39859.6078189
2	39859.6505091
3	39860.2929099
4	39860.7482549
5	39862.3158359
6	39862.2785125
7	39861.4947220
8	39860.5657851
9	39860.4114522
10	39860.3625802
11	39860.3845540
12	39860.3916094
13	39860.5077266
14	39860.5077266
15	39860.5038560
16	39860.5141273
17	39860.2174338
18	39860.1013167
19	39859.9851996
20	39859.8690824
21	39859.7965092
22	39859.7965092
23	39859.6896287
24	39859.6041243
25	39859.6223336
26	39859.4419374
27	39859.5613721
28	39860.0391111
29	39859.9271410
30	39860.1884045
31	39861.1463707
32	39862.8010395
33	39864.5913008
34	39865.8055697
35	39867.6344142
36	39872.4823036
37	39875.4723193
38	39882.8138236
39	39888.6661260
40	39893.9262311
41	39897.8103485
42	39902.9253808
43	39907.1760931
44	39910.3509965
45	39913.3506885
46	39915.0299883
47	39918.6461126
48	39919.3166889
49	39919.9872653
50	39920.8668524
51	39921.3478147
52	39922.3453663
53	39922.7423511
54	39923.1529080
55	39924.5463133
56	39924.4592255
57	39924.4398726
58	39924.4205198
59	39924.4592255
60	39925.2430160
61	39925.2155146
62	39925.1385106
63	39925.0146523
64	39925.0190759
65	39925.0638639
66	39924.8324591
67	39924.8324591
68	39924.8623178
69	39924.8921764
70	39925.4744208
71	39925.4221366
72	39925.6349112
73	39925.8768219
74	39925.8800474
75	39925.7328851
76	39925.5042795
77	39925.7655430
78	39925.9203658
79	39925.8961747
80	39925.7655430
81	39925.7386607
82	39925.7655430
83	39925.8961747
84	39926.5866569
85	39927.0146314
86	39927.0718605
87	39926.3253934
88	39926.6101218
89	39926.2300114
90	39924.7204890
91	39924.7623794
92	39924.5409240
93	39924.6668564
94	39924.4069728
95	39921.6743501
96	39920.5402730
97	39916.0117057
98	39914.2699490
99	39910.0897330
100	39903.0356185
101	39896.5040310
102	39892.3625207
103	39888.3177747
104	39885.7269116
105	39882.6701287
106	39879.7831670
107	39876.6480050
108	39872.7943684
109	39871.6839985
110	39870.6389445
111	39869.5358319
112	39869.2281216
113	39868.0263095
114	39867.8521338
115	39867.1000116
116	39866.5893603
117	39866.5893603
118	39866.7490213
119	39866.7853079
120	39866.0740906
121	39865.2830427
122	39865.1897344
123	39864.7460011
124	39863.8944756
125	39863.8428680
126	39864.0202692
127	39864.0783277
128	39864.1073570
129	39863.6893354
130	39863.6594767
131	39862.2561185
132	39862.2131966
133	39861.8866172
134	39861.8430733
135	39861.3786049
136	39861.1850764
137	39861.7559855
138	39861.7233276
139	39861.6483353
140	39861.5733430
141	39861.3016795
142	39861.2368460
143	39861.1720125
144	39860.7723775
145	39860.4496680
146	39860.3722566
147	39861.1463707
148	39861.0767004
