X	Y	X	Y	X	Y	X	Y	X	Y
-4.2100000E1	1.6711785E0	-4.1710000E1	6.8723170E-1	-4.2350000E1	5.5709741E0	3.8962301E1	1.4387867E1	-4.2505258E1	6.8745246E0
-4.1100000E1	1.7048131E0	-4.0710000E1	6.0006820E-1	-4.1350000E1	5.2362799E0	3.9962301E1	1.4371347E1	-4.1505258E1	6.7814401E0
-4.0100000E1	1.5694285E0	-3.9710000E1	2.8828880E-1	-4.0350000E1	4.9015857E0	4.0962301E1	1.3383901E1	-4.0505258E1	6.5003055E0
-3.9100000E1	1.6003999E0	-3.8710000E1	3.7806820E-1	-3.9350000E1	4.7595391E0	4.1962301E1	1.3291721E1	-3.9505258E1	6.9047141E0
-3.8100000E1	1.5887610E0	-3.7710000E1	3.7806820E-1	-3.8350000E1	4.2681150E0	4.2962301E1	1.3299829E1	-3.8505258E1	6.6135526E0
-3.7100000E1	1.4422410E0	-3.6710000E1	3.3991190E-1	-3.7350000E1	4.3220240E0	4.3962301E1	1.3376142E1	-3.7505258E1	6.6746026E0
-3.6100000E1	1.5809910E0	-3.5710000E1	2.8414510E-1	-3.6350000E1	4.0122983E0	4.4962301E1	1.3020017E1	-3.6505258E1	6.5270651E0
-3.5100000E1	1.0759410E0	-3.4710000E1	2.3931820E-1	-3.5350000E1	3.9829472E0	4.5962301E1	1.3082535E1	-3.5505258E1	5.7143696E0
-3.4100000E1	1.0759410E0	-3.3710000E1	9.4164403E-2	-3.4350000E1	3.3372261E0	4.6962301E1	1.2648928E1	-3.4505258E1	5.8402526E0
-3.3100000E1	1.6642410E0	-3.2710000E1	1.7318203E-2	-3.3350000E1	3.1258990E0	4.7962301E1	1.2613017E1	-3.3505258E1	5.6799065E0
-3.2100000E1	1.4422410E0	-3.1710000E1	-5.9527997E-2	-3.2350000E1	3.1435097E0	4.8962301E1	1.2828487E1	-3.2505258E1	5.9420026E0
-3.1100000E1	2.8907433E-1	-3.0710000E1	-2.0468180E-1	-3.1350000E1	3.1435097E0	4.9962301E1	1.3029225E1	-3.1505258E1	6.2237718E0
-3.0100000E1	-7.7775897E-1	-2.9710000E1	-8.9182470E-1	-3.0350000E1	2.8105098E0	5.0962301E1	1.3127122E1	-3.0505258E1	5.2482526E0
-2.9100000E1	-4.8083397E-1	-2.8710000E1	-4.8459480E-1	-2.9350000E1	2.4775098E0	5.1962301E1	1.2918267E1	-2.9505258E1	5.0376372E0
-2.8100000E1	-4.3286607E-1	-2.7710000E1	-1.1298610E-1	-2.8350000E1	2.3132297E0	5.2962301E1	1.2511267E1	-2.8505258E1	5.0658295E0
-2.7100000E1	2.8497453E-1	-2.6710000E1	-6.9030680E-1	-2.7350000E1	2.2747213E0	5.3962301E1	1.2511267E1	-2.7505258E1	5.8245988E0
-2.6100000E1	2.5515773E-1	-2.5710000E1	-6.1651010E-1	-2.6350000E1	2.5095290E0	5.4962301E1	1.2214864E1	-2.6505258E1	5.6976757E0
-2.5100000E1	2.9516193E-1	-2.4710000E1	-2.3243180E-1	-2.5350000E1	2.7443367E0	5.5962301E1	1.1951642E1	-2.5505258E1	5.4723872E0
-2.4100000E1	9.9141030E-2	-2.3710000E1	-2.4893180E-1	-2.4350000E1	2.5665538E0	5.6962301E1	1.1677699E1	-2.4505258E1	5.5757026E0
