X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
-2.3640810E-1	-5.3762782E-1	-4.6408104E-2	-3.8941762E-2	-6.9640810E-1	2.1241488E0	-1.9738948E-1	-1.3752560E-1	-3.4640810E-1	2.3180766E-1	-2.1640810E-1	6.6360397E-2
7.6359190E-1	1.7365236E0	9.5359190E-1	8.0017380E-1	3.0359190E-1	-9.2600064E-1	8.0261052E-1	5.5919643E-1	6.5359190E-1	-4.3736739E-1	7.8359190E-1	-2.4028430E-1
1.7635919E0	1.7425598E0	1.9535919E0	1.6698194E-1	1.3035919E0	-3.6478300E0	1.8026105E0	9.0710995E-1	1.6535919E0	1.0961105E0	1.7835919E0	5.3718355E-1
2.7635919E0	1.0082715E0	2.9535919E0	-7.0924060E-1	2.3035919E0	-3.2363727E0	2.8026105E0	1.2641617E0	2.6535919E0	4.5633923E-1	2.7835919E0	3.0290993E-1
3.7635919E0	3.3478805E-1	3.9535919E0	-6.7349157E-1	3.3035919E0	-3.3665831E0	3.8026105E0	1.5189621E0	3.6535919E0	-2.6537153E-2	3.7835919E0	2.5734809E-1
4.7635919E0	8.1587995E-1	4.9535919E0	-9.4127721E-1	4.3035919E0	-3.9736472E0	4.8026105E0	5.9803401E0	4.6535919E0	-1.3170291E-1	4.7835919E0	-1.1918051E0
5.7635919E0	6.1707790E-1	5.9535919E0	-3.1934936E-1	5.3035919E0	-4.8649322E0	5.8026105E0	6.3671997E0	5.6535919E0	-3.7932781E-1	5.7835919E0	-1.1746283E0
6.7635919E0	9.8053014E-1	6.9535919E0	3.3633004E-1	6.3035919E0	-3.6366284E0	6.8026105E0	5.7535188E0	6.6535919E0	1.1994056E-1	6.7835919E0	-7.1137171E-2
7.7635919E0	5.5554980E-1	7.9535919E0	4.1356645E-1	7.3035919E0	-3.6602625E0	7.8026105E0	5.3102387E0	7.6535919E0	-1.6542431E-1	7.7835919E0	8.0507058E-1
8.7635919E0	8.1893550E-1	8.9535919E0	7.4171841E-1	8.3035919E0	-4.2471683E0	8.8026105E0	4.2114031E0	8.6535919E0	-1.3325472E0	8.7835919E0	2.3309264E0
9.7635919E0	3.8172268E0	9.9535919E0	1.9172378E0	9.3035919E0	-4.7441212E0	9.8026105E0	3.1773057E0	9.6535919E0	-1.9059471E0	9.7835919E0	1.8459636E0
1.0763592E1	4.4632615E0	1.0953592E1	6.9964078E-1	1.0303592E1	-4.3655284E0	1.0802611E1	3.8635326E0	1.0653592E1	-2.0582394E0	1.0783592E1	1.9634148E0
1.1763592E1	5.1223837E0	1.1953592E1	8.0567116E-1	1.1303592E1	-3.2714457E0	1.1802611E1	5.3648862E0	1.1653592E1	-2.1879494E0	1.1783592E1	1.8235900E0
1.2763592E1	6.3608546E0	1.2953592E1	-3.8162841E-1	1.2303592E1	-2.2525940E0	1.2802611E1	4.2087720E0	1.2653592E1	-2.1041812E0	1.2783592E1	2.2174282E0
1.3763592E1	6.1594884E0	1.3953592E1	-3.0093786E-2	1.3303592E1	-2.0226499E0	1.3802611E1	3.6824993E0	1.3653592E1	1.3940229E0	1.3783592E1	3.3433055E0
1.4763592E1	5.7674642E0	1.4953592E1	-2.9467386E-1	1.4303592E1	-1.2494576E0	1.4802611E1	3.0186627E0	1.4653592E1	4.0440145E0	1.4783592E1	2.7170080E0
1.5763592E1	8.8432164E0	1.5953592E1	2.9144948E0	1.5303592E1	-1.1576879E0	1.5802611E1	3.1205696E0	1.5653592E1	3.1096547E0	1.5783592E1	4.0250334E0
1.6763592E1	1.1165832E1	1.6953592E1	5.6701684E0	1.6303592E1	1.6449652E0	1.6802611E1	3.4086107E0	1.6653592E1	4.9078002E0	1.6783592E1	5.7703130E0
1.7763592E1	1.2028906E1	1.7953592E1	2.9595564E0	1.7303592E1	3.0461990E0	1.7802611E1	2.6121578E0	1.7653592E1	4.6021412E0	1.7783592E1	5.8065761E0
1.8763592E1	1.6278577E1	1.8953592E1	5.1851073E0	1.8303592E1	2.5332896E0	1.8802611E1	2.6272229E0	1.8653592E1	2.2916398E0	1.8783592E1	6.0090309E0
1.9763592E1	2.1905862E1	1.9953592E1	5.7865185E0	1.9303592E1	-1.2930470E0	1.9802611E1	7.0116998E0	1.9653592E1	3.7062082E0	1.9783592E1	5.0988309E0
2.0763592E1	2.3609291E1	2.0953592E1	9.7192807E0	2.0303592E1	4.3858310E0	2.0802611E1	6.9030041E0	2.0653592E1	2.0720705E0	2.0783592E1	4.1360708E0
2.1763592E1	2.8335903E1	2.1953592E1	1.6408948E1	2.1303592E1	7.1495520E0	2.1802611E1	6.4934770E0	2.1653592E1	2.9616789E0	2.1783592E1	4.3869371E0
2.2763592E1	3.0635259E1	2.2953592E1	1.3915402E1	2.2303592E1	6.2859900E0	2.2802611E1	6.3284986E0	2.2653592E1	4.1951412E0	2.2783592E1	3.0418377E0
2.3763592E1	3.8389893E1	2.3953592E1	1.3936469E1	2.3303592E1	5.6436856E0	2.3802611E1	1.1577897E1	2.3653592E1	8.8164160E0	2.3783592E1	8.1880519E-1
2.4763592E1	4.5943652E1	2.4953592E1	1.2907768E1	2.4303592E1	7.2576279E0	2.4802611E1	1.1347218E1	2.4653592E1	7.1192928E0	2.4783592E1	3.8302739E-1
2.5763592E1	4.6129923E1	2.5953592E1	1.4663320E1	2.5303592E1	6.5948792E0	2.5802611E1	1.1051958E1	2.5653592E1	4.2547534E0	2.5783592E1	-1.3554744E0
2.6763592E1	5.0869492E1	2.6953592E1	1.6243859E1	2.6303592E1	9.9150224E0	2.6802611E1	7.2817033E0	2.6653592E1	2.8207423E0	2.6783592E1	-3.5233318E0
2.7763592E1	5.5266930E1	2.7953592E1	1.7879639E1	2.7303592E1	9.1096405E0	2.7802611E1	1.0739245E1	2.7653592E1	6.8757063E0	2.7783592E1	-3.7792959E-1
2.8763592E1	5.2736613E1	2.8953592E1	1.5912329E1	2.8303592E1	5.2621388E0	2.8802611E1	1.2758311E1	2.8653592E1	2.5997679E0	2.8783592E1	-7.9406741E-1
2.9763592E1	6.1156716E1	2.9953592E1	2.3232669E1	2.9303592E1	1.0821725E1	2.9802611E1	1.2773018E1	2.9653592E1	5.3497268E0	2.9783592E1	7.9796459E-1
3.0763592E1	6.5365425E1	3.0953592E1	2.5622379E1	3.0303592E1	8.0066719E0	3.0802611E1	1.2867585E1	3.0653592E1	5.2230681E0	3.0783592E1	9.9995915E-1
3.1763592E1	6.6370339E1	3.1953592E1	2.7759957E1	3.1303592E1	9.6261087E0	3.1802611E1	8.8959404E0	3.1653592E1	7.5374073E0	3.1783592E1	-2.9891917E-1
3.2763592E1	7.2445034E1	3.2953592E1	2.7373242E1	3.2303592E1	1.1591142E1	3.2802611E1	1.1031616E1	3.2653592E1	6.8865861E0	3.2783592E1	-8.2053996E-2
3.3763592E1	7.4386187E1	3.3953592E1	2.9817686E1	3.3303592E1	1.0077630E1	3.3802611E1	7.5580390E0	3.3653592E1	5.9215193E0	3.3783592E1	1.7316803E0
3.4763592E1	7.6305562E1	3.4953592E1	2.8025349E1	3.4303592E1	7.8622893E0	3.4802611E1	9.2880001E0	3.4653592E1	6.6720898E0	3.4783592E1	3.1811586E0
3.5763592E1	7.8766959E1	3.5953592E1	2.8492774E1	3.5303592E1	1.1860373E1	3.5802611E1	9.8106876E0	3.5653592E1	9.6820637E0	3.5783592E1	1.7020032E0
3.6763592E1	7.9118492E1	3.6953592E1	3.4508340E1	3.6303592E1	1.7844583E1	3.6802611E1	1.1663994E1	3.6653592E1	7.9208459E0	3.6783592E1	5.1331161E-1
3.7763592E1	8.5179400E1	3.7953592E1	3.9688966E1	3.7303592E1	1.5679202E1	3.7802611E1	1.2673983E1	3.7653592E1	5.5445648E0	3.7783592E1	7.6254245E-1
3.8763592E1	8.0441117E1	3.8953592E1	3.5289409E1	3.8303592E1	1.6328855E1	3.8802611E1	9.8683469E0	3.8653592E1	3.9953357E0	3.8783592E1	-7.0316970E-1
3.9763592E1	8.6873073E1	3.9953592E1	4.2331441E1	3.9303592E1	2.3563074E1	3.9802611E1	1.3298247E1	3.9653592E1	4.0336028E0	3.9783592E1	-4.8188298E-1
4.0763592E1	8.8392335E1	4.0953592E1	4.8946937E1	4.0303592E1	2.3894268E1	4.0802611E1	1.6086368E1	4.0653592E1	2.7394388E0	4.0783592E1	1.7525663E-1
4.1763592E1	9.0260835E1	4.1953592E1	4.8606360E1	4.1303592E1	2.6859465E1	4.1802611E1	1.6543341E1	4.1653592E1	3.3967640E0	4.1783592E1	2.3904183E0
4.2763592E1	9.2626421E1	4.2953592E1	4.7770550E1	4.2303592E1	2.2761027E1	4.2802611E1	1.3995802E1	4.2653592E1	3.3176637E0	4.2783592E1	1.4512332E0
4.3763592E1	1.0088104E2	4.3953592E1	4.7857133E1	4.3303592E1	2.3664444E1	4.3802611E1	1.6303301E1	4.3653592E1	2.5410416E0	4.3783592E1	1.8195212E0
4.4763592E1	1.0584799E2	4.4953592E1	5.4708947E1	4.4303592E1	2.7701493E1	4.4802611E1	1.4613754E1	4.4653592E1	2.3993638E0	4.4783592E1	2.4141814E0
4.5763592E1	1.0558636E2	4.5953592E1	5.7791972E1	4.5303592E1	2.4822562E1	4.5802611E1	1.2345851E1	4.5653592E1	4.4001891E0	4.5783592E1	6.0296782E0
4.6763592E1	1.1294463E2	4.6953592E1	5.9093284E1	4.6303592E1	2.6715011E1	4.6802611E1	1.5713460E1	4.6653592E1	4.5662769E0	4.6783592E1	6.6573749E0
4.7763592E1	1.1232429E2	4.7953592E1	5.8884026E1	4.7303592E1	2.7533728E1	4.7802611E1	1.6241245E1	4.7653592E1	4.4163296E0	4.7783592E1	7.4521226E0
4.8763592E1	1.1331602E2	4.8953592E1	6.0802770E1	4.8303592E1	2.5672775E1	4.8802611E1	1.8046423E1	4.8653592E1	4.2124594E0	4.8783592E1	6.7859492E0
4.9763592E1	1.1640645E2	4.9953592E1	6.0967199E1	4.9303592E1	2.6463139E1	4.9802611E1	1.8184414E1	4.9653592E1	6.2869840E0	4.9783592E1	4.6493391E0
5.0763592E1	1.2083296E2	5.0953592E1	6.2546524E1	5.0303592E1	2.5354587E1	5.0802611E1	1.6719829E1	5.0653592E1	5.8890137E0	5.0783592E1	4.3996981E0
5.1763592E1	1.2489620E2	5.1953592E1	6.3467814E1	5.1303592E1	2.5825721E1	5.1802611E1	1.7640899E1	5.1653592E1	9.0516702E0	5.1783592E1	5.2608527E0
5.2763592E1	1.2429300E2	5.2953592E1	6.4845219E1	5.2303592E1	2.6523384E1	5.2802611E1	1.8141546E1	5.2653592E1	8.4360273E0	5.2783592E1	4.9451317E0
5.3763592E1	1.2279725E2	5.3953592E1	6.8207810E1	5.3303592E1	3.0153839E1	5.3802611E1	1.8912031E1	5.3653592E1	8.4122661E0	5.3783592E1	4.3837435E0
5.4763592E1	1.2844660E2	5.4953592E1	6.7958118E1	5.4303592E1	3.2731110E1	5.4802611E1	1.9137727E1	5.4653592E1	8.1744706E0	5.4783592E1	3.9343253E0
5.5763592E1	1.3141141E2	5.5953592E1	6.6156255E1	5.5303592E1	3.1892110E1	5.5802611E1	1.9015976E1	5.5653592E1	8.3004768E0	5.5783592E1	4.0425373E0
5.6763592E1	1.3565545E2	5.6953592E1	6.6827256E1	5.6303592E1	3.1861938E1	5.6802611E1	1.8727359E1	5.6653592E1	8.1382610E0	5.6783592E1	4.1251070E0
5.7763592E1	1.3606051E2	5.7953592E1	7.1378813E1	5.7303592E1	3.2293541E1	5.7802611E1	1.8467688E1	5.7653592E1	8.8234918E0	5.7783592E1	4.0683504E0
5.8763592E1	1.3599734E2	5.8953592E1	7.0346624E1	5.8303592E1	3.4195051E1	5.8802611E1	1.9264587E1	5.8653592E1	9.7589052E0	5.8783592E1	4.4326043E0
5.9763592E1	1.3636834E2	5.9953592E1	7.0116611E1	5.9303592E1	3.4461443E1	5.9802611E1	1.8900741E1	5.9653592E1	9.4107914E0	5.9783592E1	6.5301819E0
6.0763592E1	1.3835715E2	6.0953592E1	6.9923876E1	6.0303592E1	3.7718410E1	6.0802611E1	2.0525179E1	6.0653592E1	9.5283985E0	6.0783592E1	6.6285289E0
6.1763592E1	1.3879862E2	6.1953592E1	7.1037519E1	6.1303592E1	3.7709704E1	6.1802611E1	2.1590490E1	6.1653592E1	8.2440461E0	6.1783592E1	6.3985152E0
